first_name,last_name,position,position_label,team_abbreviation,age,overall_rating,dev_trait,speed,strength,awareness,throw_accuracy,throw_power,catching,route_running,tackle_rating,coverage,pass_rush,kickpower,kickaccuracy,runblocking,passblocking,annual_salary,years_remaining
Shelby,Harris,DL,DL,CLE,34,77,Star,75,85,78,6,24,42,6,87,22,79,19,21,45,45,3.0,1
Jake,Matthews,OL,OL,ATL,33,86,Star,71,86,91,6,25,40,19,45,14,45,22,20,77,89,22.5,1
Morgan,Moses,OL,OL,NE,34,81,Star,65,89,92,6,30,35,10,30,14,24,25,25,82,79,8.0,2
Jimmy,Garoppolo,QB,QB,LAR,33,67,Normal,74,63,66,81,85,35,16,16,18,24,20,10,26,10,,
Davante,Adams,WR,WR,LAR,32,90,Superstar,89,63,92,10,45,88,92,42,21,29,25,30,48,38,22.0,1
Mike,Evans,WR,WR,TB,32,93,Star,92,78,93,20,35,95,88,39,34,20,25,24,60,45,14.17,2
Joel,Bitonio,OL,OL,CLE,33,85,Star,73,88,92,6,16,28,10,30,16,25,24,21,84,84,,
Chris,Manhertz,TE,TE,NYG,33,70,Normal,78,77,65,6,30,72,52,33,18,32,21,19,71,66,1.49,1
Jason,Myers,K,K,SEA,34,79,Normal,69,43,67,30,45,30,10,20,18,20,95,85,20,20,5.28,3
Jameis,Winston,QB,QB,NYG,31,72,Normal,76,72,67,82,91,49,14,45,12,39,30,26,37,15,4.0,1
Shaq,Thompson,LB,LB,BUF,31,81,Normal,85,75,87,6,25,77,24,85,66,85,20,20,45,45,,
Eddie,Goldman,DL,DL,WAS,31,74,Normal,63,93,81,6,21,25,9,81,24,82,24,18,45,45,,
Danielle,Hunter,DL,DL,HOU,30,91,X-Factor,88,82,95,6,15,36,6,87,44,84,15,11,45,45,40.1,1
Grady,Jarrett,DL,DL,CHI,32,82,Normal,72,90,85,6,26,30,9,86,27,84,25,25,45,45,14.5,2
Stefon,Diggs,WR,WR,NE,31,88,Superstar,91,62,86,23,46,92,88,27,36,24,30,30,53,39,,
Darren,Waller,TE,TE,MIA,32,82,Star,88,70,85,10,35,85,72,32,15,26,22,14,59,60,,
Bobby,Hart,OL,OL,WAS,31,63,Normal,49,84,77,6,35,39,10,40,12,30,25,21,71,69,1.3,1
Raheem,Mostert,RB,RB,LV,33,79,Star,91,67,80,28,30,70,58,41,18,36,25,23,47,61,,
DeAndre,Carter,WR,WR,CLE,32,72,Normal,88,60,73,13,31,85,74,35,19,32,13,15,36,28,,
Taylor,Heinicke,QB,QB,LAC,32,66,Normal,83,58,63,79,83,41,10,25,7,22,23,18,14,21,,
Alex,Singleton,LB,LB,DEN,31,77,Star,85,72,82,6,20,63,10,92,60,85,19,15,45,45,7.5,1
Kendall,Lamm,OL,OL,PHI,33,71,Normal,68,80,77,6,13,45,21,42,12,35,16,11,73,79,,
Leonard,Williams,DL,DL,SEA,31,87,Star,78,90,94,6,35,42,10,86,29,82,18,17,45,45,21.5,2
Carl,Davis,DL,DL,WAS,33,68,Normal,68,88,73,6,25,34,10,79,20,76,19,15,45,45,,
Trent,Brown,OL,OL,HOU,32,85,Superstar,69,91,86,6,25,35,8,40,14,16,20,20,85,84,5.5,1
Denzel,Perryman,LB,LB,LAC,32,76,Star,82,84,82,6,25,60,10,82,57,88,20,20,45,45,2.79,1
Ameer,Abdullah,RB,RB,SF,32,72,Normal,89,68,76,23,35,72,54,42,14,19,23,21,37,54,1.3,1
Arik,Armstead,DL,DL,JAX,31,78,Normal,74,91,78,6,35,38,6,87,36,80,30,30,45,45,14.5,2
Tyler,Lockett,WR,WR,TEN,32,79,Normal,88,50,78,10,30,92,80,25,18,21,28,25,51,30,,
D.J.,Humphries,OL,OL,LAR,31,74,Normal,65,87,75,6,10,35,8,45,15,28,13,6,74,81,,
Laken,Tomlinson,OL,OL,HOU,33,76,Star,70,86,94,6,20,20,8,35,14,28,20,20,77,75,,
Rob,Havenstein,OL,OL,LAR,33,84,Normal,68,86,95,6,11,27,10,35,12,25,15,12,89,81,,
Marcus,Mariota,QB,QB,WAS,31,69,Normal,87,60,71,78,86,62,29,28,17,30,37,35,28,20,7.0,1
DeForest,Buckner,DL,DL,IND,31,88,Star,76,90,89,6,22,40,8,90,38,88,20,19,45,46,23.0,1
Laremy,Tunsil,OL,OL,WAS,31,94,Star,72,92,94,6,22,26,12,35,12,28,20,17,82,94,30.1,1
Taylor,Decker,OL,OL,DET,32,87,Star,69,90,95,6,22,44,15,34,12,50,18,19,83,89,,
Ryan,Kelly,OL,OL,MIN,32,83,Star,69,85,96,6,24,29,9,32,13,34,20,20,79,83,,
Sterling,Shepard,WR,WR,TB,32,73,Normal,87,68,71,20,27,80,74,33,20,28,23,22,60,41,,
Jarran,Reed,DL,DL,SEA,32,79,Normal,71,89,87,6,23,30,8,88,22,80,17,17,45,44,7.33,2
Deion,Jones,LB,LB,TB,30,75,Normal,87,73,75,6,25,74,10,76,73,84,19,19,45,45,,
Joe,Thuney,OL,OL,CHI,32,93,Superstar,73,88,96,6,25,26,10,29,12,42,11,11,82,92,17.5,1
Austin,Hooper,TE,TE,NE,30,73,Normal,81,73,77,10,26,86,60,34,18,29,21,19,62,59,3.25,1
Graham,Glasgow,OL,OL,DET,33,75,Normal,64,87,85,6,24,20,9,29,13,31,20,20,82,71,,
Chris,Moore,WR,WR,WAS,32,73,Normal,88,58,77,15,26,84,75,26,20,22,23,22,55,40,,
Dean,Lowry,DL,DL,PIT,31,71,Normal,76,86,71,6,22,48,8,86,26,78,21,19,45,45,1.4,1
D.J.,Reader,DL,DL,DET,31,85,Star,70,95,92,6,24,29,8,86,22,84,17,17,45,44,6.25,1
Brandon,Allen,QB,QB,TEN,33,54,Normal,75,56,61,72,82,26,16,24,15,20,21,20,16,17,1.45,1
Elandon,Roberts,LB,LB,LV,31,76,Normal,85,82,82,6,25,52,16,83,59,86,20,20,52,45,,
Ted,Karras,OL,OL,CIN,32,78,Star,69,86,82,6,29,26,14,30,12,52,25,21,68,83,5.0,1
Kalif,Raymond,WR,WR,DET,31,75,Normal,91,53,80,10,35,87,77,44,26,47,23,22,44,38,3.5,1
Wil,Lutz,K,K,DEN,31,77,Normal,70,54,62,21,39,18,15,26,14,21,97,82,16,17,5.37,2
Roy,Robertson-Harris,DL,DL,NYG,32,73,Normal,77,82,87,6,34,40,6,77,38,77,30,30,45,45,4.5,1
Morgan,Fox,DL,DL,ATL,31,73,Normal,73,82,77,6,23,35,14,86,26,78,18,14,45,45,,
Jake,Brendel,OL,OL,SF,33,74,Normal,69,84,84,6,22,40,10,41,20,24,18,22,78,72,4.12,3
Ka'imi,Fairbairn,K,K,HOU,31,80,Normal,79,39,67,30,39,37,15,35,17,20,96,88,20,15,6.5,1
Sheldon,Rankins,DL,DL,HOU,31,75,Normal,72,87,83,6,23,43,8,81,34,78,17,17,45,44,8.5,1
Chris,Jones,DL,DL,KC,31,97,X-Factor,73,96,99,6,23,29,8,91,26,89,17,17,44,44,31.75,4
Derrick,Henry,RB,RB,BAL,31,98,Star,93,87,97,31,42,66,48,44,16,37,21,20,42,68,15.0,1
Demarcus,Robinson,WR,WR,SF,30,74,Normal,88,60,77,18,24,86,76,23,20,24,23,22,58,38,4.0,1
A'Shawn,Robinson,DL,DL,CAR,30,75,Normal,65,85,79,6,23,42,8,87,22,80,17,17,45,44,10.0,1
Laquon,Treadwell,WR,WR,IND,30,68,Normal,85,70,72,19,37,83,73,38,20,28,23,22,48,43,1.49,1
Isaac,Seumalo,OL,OL,PIT,31,80,Normal,69,84,87,6,24,20,8,33,18,40,22,21,81,78,10.5,2
Ronnie,Stanley,OL,OL,BAL,31,90,Star,71,92,97,6,22,24,12,31,12,36,20,17,85,91,20.0,2
Sheldon,Day,DL,DL,WAS,31,68,Normal,69,82,73,6,23,34,8,79,37,78,17,17,45,44,,
Tyreek,Hill,WR,WR,MIA,31,95,X-Factor,98,64,91,27,41,91,94,27,15,29,13,15,59,33,,
David,Onyemata,DL,DL,ATL,32,79,Normal,73,89,77,6,13,41,6,87,28,80,29,12,45,44,10.5,1
Jaylon,Smith,LB,LB,LV,30,67,Normal,84,73,67,6,25,56,10,80,64,82,19,19,45,45,,
Jack,Conklin,OL,OL,CLE,31,79,Normal,69,88,91,5,22,24,10,34,12,26,18,19,80,81,,
Adam,Gotsis,DL,DL,TB,32,70,Normal,74,82,71,6,23,39,8,79,22,80,17,17,44,44,,
Andrew,Billings,DL,DL,CHI,30,73,Normal,70,89,75,6,24,26,8,83,22,77,23,19,45,44,2.4,1
Leonard,Floyd,DL,DL,ATL,33,77,Normal,85,76,82,6,22,55,10,82,54,80,21,19,45,45,,
Emmanuel,Ogbah,DL,DL,JAX,31,74,Normal,82,83,77,6,22,45,8,80,45,83,20,19,45,45,,
Dak,Prescott,QB,QB,DAL,32,84,Star,84,75,79,88,91,42,16,42,15,36,26,22,39,21,60.0,3
Lucas,Patrick,OL,OL,CIN,32,74,Normal,70,84,82,6,21,24,9,34,12,29,16,21,77,76,1.49,1
Hunter,Henry,TE,TE,NE,30,83,Normal,83,75,91,10,28,93,68,42,18,35,21,19,66,60,9.0,2
Jonathan,Bullard,DL,DL,NO,31,73,Normal,71,81,69,6,22,35,8,87,26,78,21,19,44,44,2.0,1
Jared,Goff,QB,QB,DET,30,87,Star,74,64,90,90,90,43,21,27,15,22,21,20,16,17,53.0,3
Javon,Hargrave,DL,DL,MIN,32,81,Star,75,87,85,6,23,28,8,88,22,81,17,17,45,44,11.5,1
Tyler,Higbee,TE,TE,LAR,32,77,Normal,81,79,77,19,26,87,70,34,18,30,21,19,64,60,3.0,1
Jacoby,Brissett,QB,QB,ARI,32,70,Normal,79,73,69,81,90,27,16,39,15,20,21,20,16,17,6.25,1
Kenny,Clark,DL,DL,GB,29,83,Star,72,91,86,6,23,24,8,87,36,83,17,17,45,44,21.33,2
Maliek,Collins,DL,DL,CLE,30,75,Normal,70,84,88,6,23,31,8,82,22,80,17,17,45,44,10.0,1
Joey,Bosa,DL,DL,BUF,30,85,Superstar,79,87,86,6,28,47,8,88,32,85,26,19,45,45,,
Mo,Alie-Cox,TE,TE,IND,31,73,Normal,82,70,73,10,25,83,67,28,12,18,19,14,66,61,2.69,1
Daniel,Brunskill,OL,OL,MIA,31,70,Normal,71,81,78,6,27,53,30,33,14,34,21,20,75,76,,
Johnny,Mundt,TE,TE,JAX,30,68,Normal,84,74,74,6,25,79,61,33,19,32,22,20,64,60,1.5,1
Zach,Pascal,WR,WR,NYG,30,71,Normal,89,71,74,25,46,84,74,31,18,34,23,18,56,49,,
Christian,McCaffrey,RB,RB,SF,29,94,Star,90,74,94,40,52,83,74,36,14,36,29,23,38,65,19.0,1
Curtis,Samuel,WR,WR,BUF,29,76,Normal,90,64,75,10,27,86,74,26,24,28,25,15,43,38,,
Taylor,Moton,OL,OL,CAR,31,86,Star,69,88,95,12,20,28,9,31,12,32,22,21,80,88,22.0,1
George,Kittle,TE,TE,SF,31,98,Superstar,87,82,97,15,30,95,80,34,20,37,19,22,77,62,19.1,3
Jermaine,Eluemunor,OL,OL,NYG,30,75,Normal,68,92,80,6,24,27,11,33,12,32,25,25,79,76,13.0,2
Aaron,Jones,RB,RB,MIN,30,85,Superstar,89,71,86,28,30,73,66,27,18,30,21,20,25,61,5.56,1
D.J.,Jones,DL,DL,DEN,30,78,Normal,73,88,85,6,24,38,11,84,24,78,23,19,45,45,13.0,2
Harrison,Butker,K,K,KC,30,82,Star,74,44,70,28,27,30,10,15,15,12,96,91,18,19,6.4,3
Kendrick,Bourne,WR,WR,NE,30,77,Normal,88,65,82,31,44,87,76,27,20,24,23,22,59,48,5.0,1
Nick,Mullens,QB,QB,JAX,30,61,Normal,74,57,60,78,84,34,16,26,18,24,18,13,28,16,2.25,1
Eric,Wilson,LB,LB,MIN,30,73,Normal,87,75,74,6,24,64,15,81,62,80,26,19,45,45,7.5,2
Taysom,Hill,TE,TE,NO,35,76,Normal,89,82,78,76,84,81,62,57,56,68,69,54,62,57,,
Tim,Patrick,WR,WR,DET,31,78,Normal,88,69,81,17,36,92,78,35,23,29,19,15,55,43,2.0,1
Adam,Butler,DL,DL,LV,31,73,Normal,70,85,85,6,20,36,12,81,28,80,15,16,45,45,5.5,2
Pharaoh,Brown,TE,TE,MIA,31,71,Normal,80,75,71,10,25,83,62,35,14,36,24,19,65,62,,
Jonathan,Allen,DL,DL,MIN,30,88,Star,73,93,88,6,21,35,6,95,26,84,9,8,45,45,12.5,1
Samaje,Perine,RB,RB,CIN,29,76,Normal,86,84,74,23,31,73,54,40,14,44,20,22,54,60,1.8,1
Deshaun,Watson,QB,QB,CLE,29,70,Normal,84,69,60,79,89,51,20,34,18,28,25,27,27,23,46.0,4
Garett,Bolles,OL,OL,DEN,33,89,Star,75,87,93,6,25,36,17,38,14,40,22,20,81,90,20.5,3
Dalvin,Tomlinson,DL,DL,ARI,31,77,Star,70,89,87,6,23,34,8,83,26,81,17,17,45,45,6.2,1
Zach,Cunningham,LB,LB,DET,30,70,Normal,84,80,69,6,25,59,10,80,59,82,20,20,45,45,,
James,Conner,RB,RB,ARI,30,85,Star,89,83,90,14,23,68,60,33,12,36,18,16,53,67,3.0,1
Mack,Hollins,WR,WR,NE,31,74,Normal,91,73,76,20,27,86,76,51,16,64,17,12,61,55,4.2,1
Carlos,Watkins,DL,DL,TEN,31,69,Normal,75,86,72,6,16,50,14,81,28,76,15,15,45,45,,
Matt,Milano,LB,LB,BUF,31,84,Star,86,78,91,6,25,70,14,81,75,88,20,20,45,45,,
Jamal,Agnew,WR,WR,ATL,30,72,Normal,91,60,65,35,49,82,72,63,63,74,19,17,47,35,,
Eric,Saubert,TE,TE,SEA,31,67,Normal,82,75,69,10,20,78,59,30,14,38,26,22,63,61,2.5,1
Jeremiah,Ledbetter,DL,DL,NYG,31,69,Normal,77,85,70,6,32,34,11,80,26,78,21,25,45,45,,
David,Moore,WR,WR,CAR,30,71,Normal,88,74,78,23,35,85,74,37,22,34,33,25,57,56,1.49,1
Noah,Brown,WR,WR,WAS,29,76,Normal,89,74,83,23,33,86,77,45,20,46,22,20,62,52,,
Pat,O'Connor,DL,DL,DET,31,63,Normal,75,82,58,6,25,29,12,75,25,75,17,25,45,45,,
Cooper,Rush,QB,QB,BAL,31,68,Normal,73,62,71,81,85,28,13,29,15,24,19,15,18,15,,
Elijah,Wilkinson,OL,OL,ATL,30,68,Normal,70,85,80,6,32,26,8,37,11,36,25,22,71,72,3.12,1
Austin,Ekeler,RB,RB,WAS,30,77,Normal,89,82,77,21,28,77,72,32,18,30,22,15,38,54,,
Younghoe,Koo,K,K,ATL,31,78,Normal,71,47,67,27,36,36,10,36,18,27,96,80,15,10,,
Storm,Norton,OL,OL,ATL,31,62,Normal,65,82,79,6,30,27,15,29,14,24,22,21,72,61,1.5,1
Robert,Tonyan,TE,TE,KC,31,68,Normal,86,74,62,32,46,84,60,39,15,28,17,12,58,56,1.3,1
Jake,Elliott,K,K,PHI,30,78,Normal,76,34,64,22,28,27,16,27,17,32,97,84,20,20,5.67,2
Corey,Levin,OL,OL,TEN,31,63,Normal,64,84,73,6,16,25,12,32,18,36,21,23,64,72,1.49,1
Andrew,Wylie,OL,OL,WAS,31,76,Normal,68,85,75,5,25,35,16,35,11,36,19,15,80,77,3.75,1
Dare,Ogunbowale,RB,RB,HOU,31,67,Normal,88,71,74,25,25,70,56,37,18,26,55,56,36,52,,
JuJu,Smith-Schuster,WR,WR,KC,28,75,Star,87,72,80,19,34,85,72,43,41,46,24,17,51,46,1.3,1
Jonnu,Smith,TE,TE,PIT,30,81,Normal,89,78,87,6,35,87,70,29,18,39,26,26,57,62,,
Davon,Godchaux,DL,DL,NO,30,80,Normal,71,93,78,6,15,35,8,92,26,78,12,11,45,45,5.5,1
Dan,Skipper,OL,OL,DET,30,61,Normal,70,82,73,6,22,42,26,36,13,32,19,19,68,64,,
Myles,Garrett,DL,DL,CLE,29,99,Superstar,87,96,97,29,55,52,10,92,51,90,20,20,45,45,40.0,3
Mitchell,Trubisky,QB,QB,BUF,31,64,Normal,84,71,52,77,89,44,28,35,16,38,31,23,21,18,5.25,1
Solomon,Thomas,DL,DL,DAL,30,71,Normal,82,87,65,6,18,32,20,82,36,78,16,11,45,45,3.0,1
Patrick,Mahomes,QB,QB,KC,29,95,Star,85,70,92,92,97,59,21,26,18,28,20,10,23,10,64.0,6
Derek,Barnett,DL,DL,HOU,29,73,Normal,77,85,75,6,28,49,17,82,39,84,23,15,45,45,,
Evan,Engram,TE,TE,DEN,31,85,Star,87,66,83,18,28,92,72,42,28,32,22,16,62,63,11.5,1
David,Njoku,TE,TE,CLE,29,89,Star,86,72,89,10,13,88,76,36,24,26,15,19,63,65,3.0,1
Cam,Robinson,OL,OL,HOU,29,78,Star,69,90,89,6,15,32,15,29,14,38,19,28,68,82,,
Zay,Jones,WR,WR,ARI,30,76,Star,89,76,74,29,39,88,77,34,20,30,22,17,61,38,,
Joe,Mixon,RB,RB,HOU,29,91,X-Factor,92,82,91,33,46,75,60,37,15,38,24,16,58,55,,
Ethan,Pocic,OL,OL,CLE,30,72,Normal,71,88,75,6,24,34,15,36,12,34,12,12,82,71,,
Tanoh,Kpassagnon,DL,DL,CHI,31,71,Normal,80,82,72,6,15,47,13,79,46,82,15,29,45,45,,
Dion,Dawkins,OL,OL,BUF,31,91,Superstar,75,92,97,6,23,41,18,31,14,32,24,22,84,91,20.02,2
Larry,Ogunjobi,DL,DL,BUF,31,76,Star,74,89,83,6,23,35,8,83,27,78,17,17,45,45,,
Alvin,Kamara,RB,RB,NO,30,84,Normal,88,77,87,29,41,76,74,29,21,34,21,16,41,53,12.25,1
Dawuane,Smoot,DL,DL,JAX,30,71,Normal,79,82,78,6,20,35,6,77,30,80,20,15,45,45,,
Cooper,Kupp,WR,WR,SEA,32,86,Superstar,89,66,86,36,60,95,85,31,20,28,22,20,63,46,15.0,2
Alex,Anzalone,LB,LB,DET,30,79,Star,86,74,84,6,25,61,14,85,70,86,28,18,45,45,8.5,1
Kareem,Hunt,RB,RB,KC,30,80,Star,86,81,82,20,27,71,62,31,20,29,24,16,57,59,,
Trey,Hendrickson,DL,DL,CIN,30,92,Star,84,82,97,6,23,44,12,86,38,88,17,17,45,45,28.0,3
Josh,Reynolds,WR,WR,NYJ,30,76,Star,88,66,82,20,30,86,78,35,22,30,20,14,51,44,,
Samson,Ebukam,DL,DL,IND,30,75,Normal,84,83,70,6,25,52,15,82,54,82,20,20,45,45,2.77,1
Joshua,Dobbs,QB,QB,NE,30,69,Normal,88,74,63,80,85,52,20,33,22,36,20,15,20,24,,
Grover,Stewart,DL,DL,IND,31,85,Star,73,91,86,6,19,30,8,87,28,80,15,15,45,45,13.0,2
Jeremy,McNichols,RB,RB,WAS,29,69,Normal,88,72,78,28,30,67,57,25,12,28,11,21,41,54,1.49,1
Al-Quadin,Muhammad,DL,DL,DET,30,71,Normal,80,78,74,6,34,41,8,78,36,78,20,19,45,45,4.0,1
Ross,Dwelley,TE,TE,SF,30,63,Normal,79,72,67,10,30,79,59,33,18,28,18,15,58,57,,
Austin,Schlottmann,OL,OL,NYG,29,64,Normal,70,86,74,6,17,36,12,35,12,23,20,21,68,68,3.5,1
Coleman,Shelton,OL,OL,LAR,30,73,Normal,73,83,83,6,26,31,8,33,12,18,22,22,78,75,6.0,1
Brian,O'Neill,OL,OL,MIN,29,86,Superstar,76,86,96,6,18,37,14,29,12,28,19,13,87,87,18.5,4
Will,Dissly,TE,TE,LAC,29,74,Normal,82,78,70,19,25,83,62,45,16,47,15,14,70,65,,
Daniel,Carlson,K,K,LV,30,78,Normal,71,52,65,24,26,31,15,26,14,20,95,84,18,18,,
Jacob,Martin,DL,DL,WAS,29,73,Normal,86,77,74,6,23,48,10,76,40,78,17,11,45,45,9.0,1
Tim,Boyle,QB,QB,TEN,30,56,Normal,77,60,60,75,82,25,14,25,14,17,18,12,10,10,,
Poona,Ford,DL,DL,LAR,29,80,Normal,71,87,90,6,26,37,9,84,28,79,17,12,45,45,9.2,2
Daniel,Ekuale,DL,DL,PIT,31,71,Normal,67,81,73,6,10,35,6,88,20,78,21,20,45,45,,
Austin,Corbett,OL,OL,CAR,30,75,Normal,69,85,84,6,23,18,8,29,12,25,17,13,78,79,1.49,1
Jalyn,Holmes,DL,DL,WAS,29,68,Normal,78,87,66,6,23,56,40,78,26,81,10,10,45,45,1.3,1
Tyler,Conklin,TE,TE,LAC,30,75,Normal,83,66,74,15,30,90,65,28,16,26,19,17,63,59,1.3,1
Marquez,Valdes-Scantling,WR,WR,SEA,30,75,Star,93,63,76,15,24,82,77,29,14,26,15,19,53,32,1.49,1
Bradley,Bozeman,OL,OL,LAC,30,73,Normal,71,85,84,6,17,12,8,20,10,16,19,16,78,71,,
Zach,Sieler,DL,DL,MIA,30,84,Normal,78,89,88,6,22,36,10,84,24,83,15,12,45,45,21.33,2
Frankie,Luvu,LB,LB,WAS,28,80,Star,85,83,87,6,34,55,10,80,60,86,16,12,45,45,10.33,2
Keith,Kirkwood,WR,WR,BAL,30,66,Normal,88,62,69,10,22,82,72,53,44,46,11,11,56,37,,
Kentavius,Street,DL,DL,ATL,29,71,Normal,77,89,69,6,26,45,31,78,28,78,16,15,45,45,1.48,1
Quenton,Nelson,OL,OL,IND,29,92,Superstar,70,95,99,6,27,19,10,34,10,32,21,15,90,89,20.0,3
James,Daniels,OL,OL,MIA,27,79,Star,66,86,88,6,26,20,8,28,12,28,15,14,82,78,,
Courtland,Sutton,WR,WR,DEN,29,85,Superstar,90,75,86,54,62,85,80,33,26,29,19,15,62,38,23.0,3
Dallas,Goedert,TE,TE,PHI,30,87,Star,86,78,88,10,27,88,74,37,14,32,19,15,74,61,7.0,1
Anthony,Miller,WR,WR,BAL,30,68,Normal,86,67,63,26,42,80,68,33,18,28,19,13,51,29,,
Tyquan,Lewis,DL,DL,IND,30,73,Normal,80,83,69,6,20,33,10,82,34,81,17,13,45,45,,
Ian,Thomas,TE,TE,LV,29,69,Normal,82,68,69,23,31,79,62,31,13,23,18,12,60,58,1.61,1
Nyheim,Hines,RB,RB,LAC,28,72,Normal,90,62,69,15,25,73,67,27,14,24,19,13,26,53,,
Da'Shawn,Hand,DL,DL,LAC,29,74,Normal,76,88,69,6,22,27,10,84,24,79,33,16,45,45,3.0,1
Dorance,Armstrong,DL,DL,WAS,28,78,Star,79,82,83,6,20,34,10,81,34,80,16,12,45,45,,
Dalton,Schultz,TE,TE,HOU,29,80,Normal,82,76,78,10,24,89,71,29,14,30,16,14,65,60,12.6,1
Justin,Watson,WR,WR,HOU,29,73,Normal,90,69,79,10,26,81,77,30,21,24,17,15,50,39,2.5,1
